Target,Feature,Transformation,Train_R2,Test_R2,Test_RMSE,Test_MAE
Cooling Load,roof_area,step,0.2729694588353856,0.2544357761963004,8.311553457511147,6.653928391234687
Cooling Load,roof_area,polynomial,0.8222437659431596,0.8278833350544986,3.9934765043615554,2.9627680121062925
Cooling Load,roof_area,regression_spline,0.8222437659431596,0.8278833350544985,3.993476504361557,2.9627680121063915
Cooling Load,roof_area,smoothing_spline,0.8222418997674058,0.8278888753801154,3.9934122301140977,2.963454110202853
Cooling Load,overall_height,linear,0.8008935526188905,0.8068612093135138,4.2303317452544205,3.194880450675152
Cooling Load,overall_height,step,0.0,-0.008408593861118474,9.666248182723116,8.74185329328652
Cooling Load,overall_height,polynomial,0.8008935526188905,0.8068612093135138,4.2303317452544205,3.1948804506751536
Cooling Load,overall_height,regression_spline,0.8008935526188905,0.8068612093135138,4.2303317452544205,3.1948804506751527
Cooling Load,overall_height,smoothing_spline,0.8008934289609568,0.806846063143389,4.230497615787065,3.1954405730337028
Cooling Load,orientation,linear,0.0005272473126827215,-0.007561066908019498,9.66218528203439,8.737864023256305
Cooling Load,glazing_area,linear,0.04521647842282228,0.02626024670859506,9.498633320524238,8.719560272012469
Cooling Load,glazing_area,step,0.04177635972154814,0.012560916247272402,9.565217042237466,8.749891250163977
Cooling Load,glazing_area,polynomial,0.0466109155471387,0.02703703613762032,9.494843853147882,8.723186628186626
Cooling Load,glazing_area,regression_spline,0.0466109155471387,0.02703703613762032,9.494843853147882,8.723186628186626
Cooling Load,glazing_area,smoothing_spline,0.04603331876819705,0.026430889710198247,9.497800990163764,8.721346976301065
Cooling Load,glazing_area_distribution,linear,0.01701056766873288,0.006520494810222877,9.594428895193225,8.697288468408612
