Target,Model,No_of_Features,Train_R2,Train_Adjusted_R2,Test_R2,Test_Adjusted_R2,Test_RMSE,Test_MAE,Test_MAPE_percent,AIC,BIC,Source_Notebook,Train_Test_R2_Gap,Rank
Cooling Load,Deeper ANN,,-6.321161270141602,,-6.592419147491455,-7.357123234289155,26.523432897643197,24.74875831604004,,,,Deep Learning,0.2712578773498535,25
Heating Load,Tuned Gradient Boosting Regression,,0.99949930135648,,0.9986020471537544,0.998524918720858,0.3817224033595385,0.2753212781631686,,,,Semi-Parametric and Nonlinear,0.0008972542027255725,1
Heating Load,Tuned Gradient Boosting Regression,,0.999499,,0.998602,0.998525,0.381722,0.275321,,,,Deep Learning Comparison,0.000897,2
Heating Load,Gradient Boosting Regression,,0.9985643500100762,,0.9979281135901512,0.9978138026158148,0.4647125049499239,0.3413774309300918,,,,Semi-Parametric and Nonlinear,0.0006362364199249404,3
Heating Load,Random Forest Regression,,0.999654182611231,,0.9973343853700548,0.9971873169766784,0.5271085610157622,0.3588696103896046,,,,Semi-Parametric and Nonlinear,0.002319797241176147,4
Heating Load,Tuned Random Forest Regression,,0.999654182611231,,0.9973343853700548,0.9971873169766784,0.5271085610157622,0.3588696103896046,,,,Semi-Parametric and Nonlinear,0.002319797241176147,4
Heating Load,Simple ANN,,0.9988540410995485,,0.9966331124305724,0.9962940014523568,0.5924018562493228,0.4323415458202362,,,,Deep Learning,0.0022209286689758,5
Heating Load,Neural Network Regression,,0.9985319899156928,,0.9964629239967951,0.9962677749759288,0.607188565131961,0.4646692055873047,,,,Semi-Parametric and Nonlinear,0.0020690659188976612,6
Heating Load,Polynomial Function Model,,0.996653429178307,,0.9963921567605076,0.9961931033403976,0.6132325767304516,0.5041289237429301,,,,Semi-Parametric and Nonlinear,0.00026127241779938526,7
Heating Load,Extra Trees Regression,,1.0,,0.9958720639388196,0.9956443157423408,0.6559456692578971,0.4410836363636397,,,,Semi-Parametric and Nonlinear,0.004127936061180448,8
Heating Load,Support Vector Regression,,0.9985892238323744,,0.995001141505078,0.9947253424157028,0.7218331279351891,0.522608111186535,,,,Semi-Parametric and Nonlinear,0.003588082327296349,9
Heating Load,GAM-style Additive Model (n_knots=5),,0.990319292710756,,0.9885520314987448,0.9879204194435032,1.0923595279340963,0.8068171179823563,,,,Semi-Parametric and Nonlinear,0.0017672612120112063,10
Heating Load,GAM-style Additive Model (n_knots=4),,0.9903195162040738,,0.9885515248337032,0.9879198848245282,1.0923837005312602,0.8066530409377256,,,,Semi-Parametric and Nonlinear,0.0017679913703705363,11
Heating Load,Regression Spline Model,,0.9903193820905816,,0.9885514610087216,0.9879198174781684,1.092386745533816,0.8068190519993355,,,,Semi-Parametric and Nonlinear,0.0017679210818599689,12
Heating Load,GAM-style Additive Model (n_knots=6),,0.9903194687558862,,0.9885381077022496,0.987905727437546,1.0930236269740183,0.8067211535059413,,,,Semi-Parametric and Nonlinear,0.0017813610536365765,13
Heating Load,Smoothing Spline Model,,0.9903185974349866,,0.9885258526406508,0.9878927962346178,1.0936078015997164,0.8068943453261205,,,,Semi-Parametric and Nonlinear,0.0017927447943357766,14
Heating Load,GAM-style Additive Model (n_knots=8),,0.990318319816307,,0.9885233949244924,0.9878902029203264,1.0937249185221578,0.8069014506294224,,,,Semi-Parametric and Nonlinear,0.0017949248918146532,15
Heating Load,GAM-style Additive Model (n_knots=10),,0.99031302082106,,0.988490576821664,0.9878555741635489,1.0952875911477182,0.80767533066523,,,,Semi-Parametric and Nonlinear,0.0018224439993960173,16
Heating Load,Step Function Model,,0.9765523684245734,,0.97375145484416,0.9723032592493548,1.6540704645619682,1.352864939421162,,,,Semi-Parametric and Nonlinear,0.0028009135804133445,17
Heating Load,Linear Basis Model,,0.924157132674052,,0.9208501870029356,0.9164833007686148,2.872277093682071,2.0590362333385626,,,,Semi-Parametric and Nonlinear,0.0033069456711163348,18
Heating Load,Elastic Net Regression,,0.9241350286566016,,0.9205507011904128,0.9125486135405262,2.8777060014316462,2.0626065193706093,,,,Regularized Regression,0.0035843274661887525,19
Heating Load,LASSO Regression,,0.9241318796234564,,0.9205323400408146,0.9125284030665082,2.8780385086957225,2.062852406157607,,,,Regularized Regression,0.0035995395826418086,20
Heating Load,Ridge Regression,,0.924137795006201,,0.9205156238381528,0.9125100032175352,2.878341193745624,2.064123162733825,,,,Regularized Regression,0.003622171168048194,21
Heating Load,Parametric OLS (Forward Selection),6.0,0.9170521258328708,0.916232212743904,0.9122131164945224,0.908629978392258,3.024936093724908,2.184008279753741,10.272484656627544,3061.098454019036,3092.0384185160656,Parametric OLS,0.0048390093383483546,22
Heating Load,Regularized ANN,,-4.449526309967041,,-4.637006759643555,-5.2047628361544165,24.239611730707832,21.915843963623047,,,,Deep Learning,0.1874804496765136,23
Heating Load,Deeper ANN,,-4.796163082122803,,-4.96556568145752,-5.566414023474824,24.936024098712338,22.76475143432617,,,,Deep Learning,0.1694025993347168,24
